H-ID,type_id,current_shelfmark,location H-ID,collection,invented_label,is_hypothetical,is_hypothetical TRM-ID,claim_freetext,collection_of_fragments,collection_of_fragments TRM-ID,old_shelfmark,digitization H-ID,digitization_freetext,date_of_creation,date_freetext,date_of_creation_source,place_of_creation H-ID,place_of_creation_freetext,place_of_creation_source,described_by_source H-ID,described_at_URL,online_catalogue_URL,ARK,reference_notes,review_status,review_status TRM-ID,review_note
48101,106,"Best. 147 Hr. 1,1",,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/18433],,,[],Action required,9697,Add repository Marburg H48 D
48110,106,I A 24k,43887.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization/url
48115,106,133 D 1,43733.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/20264],,,[],Action required,9697,Digitization/url
48116,106,z.s.,,Fragment-J.F. Willems,,Yes,9482,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/20264],,,[],Action required,9697,Check name
48121,106,Ltk. 1022,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/20263],https://digitalcollections.universiteitleiden.nl/view/item/376813?solr_nav%5Bid%5D=56059c0999e3e8d53507&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=0#page/1/mode/1up,,[],Action required,9697,Check
48127,106,2o MS 638,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,Add repository Greifswald (H58A)
48128,106,98,43869.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,Digitization
48129,106,Cod. germ. 198,47347.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,
48130,106,22.219,46307.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,
48131,106,"Cod.misc. 4o 30d, XIV",,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,Add repository stuttgart (H58E)
48132,106,"all. 118, f.3",43932.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],https://archivesetmanuscrits.bnf.fr/ark:/12148/cc256130?collect,,[],Action required,9697,
48135,106,Germ. fol.1385,43889.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,
48136,106,4o Ms. poet. et roman. 29,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,Add repository Kassel (H58H)
48137,106,ME IV 5,43836.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9024],,,[],Action required,9697,
48150,106,Ltk. 209,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/24264],https://digitalcollections.universiteitleiden.nl/view/item/3443217?solr_nav%5Bid%5D=a945c8c98458011924db&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=0#page/1/mode/1up,,[],Action required,9697,2 Ltk 209?
48152,106,Ltk. 1774,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/24264],https://digitalcollections.universiteitleiden.nl/view/item/3443217?solr_nav%5Bid%5D=1d1dce7da89bc7ff80d1&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=0#page/1/mode/1up,,[],Action required,9697,Digitization
48154,106,1648,43787.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],https://lib.ugent.be/nl/catalog/rug01:000990088?i=21&q=1648&type=manuscript,,[],Action required,9697,
48156,106,M 15.10,47525.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Catalogue/url/digitization
48166,106,Ltk. 1107,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/23917],https://bnm-i.huygens.knaw.nl/tekstdragers/TDRA000000001483,,[],Action required,9697,Digitization
48171,106,167 III 10,43855.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/23916],,,[],Action required,9697,Digitization
48175,106,Depositum Landsberg-Velen,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/23918],,,[],Action required,9697,Add repository Münster staatsarchiv H75
48182,106,IV 1059,43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],"https://opac.kbr.be/Library/search.aspx?SC=KBR_UNIFIED&QUERY=Moriaen&_lg=nl-BE#/Detail/(query:(Id:'position:%20SOLR/DEFA-000007_OFFSET_0',Index:10,NBResults:184,PageRange:3,SearchQuery:(FacetFilter:%7B%7D,ForceSearch:!f,InitialSearch:!f,Page:0,PageRange:3,QueryGuid:'27d88d51-68d2-4a48-bd05-9377265154a4',QueryString:Moriaen,ResultSize:50,ScenarioCode:KBR_UNIFIED,ScenarioDisplayMode:display-standard,SearchGridFieldsShownOnResultsDTO:!(),SearchLabel:'',SearchTerms:Moriaen,SessionGuid:'75beb923-1724-4b2b-be58-fe6853fb555b',SortField:!n,SortOrder:0,TemplateParams:(Scenario:'',Scope:Library,Size:!n,Source:'',Support:'',UseCompact:!f),UseSpellChecking:!n)))",,[],Action required,9697,url?
48187,106,"Egert. 2323, f.1,2",43919.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization/url
48191,106,z.s.,43846.0,,,No,9483,,No,9498,"[Germ. qu. 1895,4]",[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9435],,,[],Action required,9697,digitization?
48192,106,z.s.,43962.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9435],,,[],Action required,9697,Digitization?
48198,106,"Mappe IV, Deutsche Fragm., 3",43817.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],https://www.handschriftencensus.de/8729,,[],Action required,9697,Digitization
48199,106,"Germ.fol. 757,22",43889.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/8729],,,[],Action required,9697,Digitization
48200,106,5 P 64,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/8729],,,[],Action required,9697,Add repository Cologne H81C + digitization
48206,106,A 45,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/24630],,,[],Action required,9697,Repository Keulen H 82A/digitization
48207,106,Ltk. 210,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/24630],https://digitalcollections.universiteitleiden.nl/view/item/3443210?solr_nav%5Bid%5D=9575bc21d0e28369f8b2&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=0#page/1/mode/1up,,[],Action required,9697,
48209,106,II 572,43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/24630],"https://opac.kbr.be/Library/search.aspx?SC=KBR_UNIFIED&QUERY=II+572&_lg=nl-BE#/Detail/(query:(Id:'position:%20SOLR/DEFA-000001_OFFSET_0',Index:1,NBResults:1,PageRange:3,SearchQuery:(FacetFilter:'%7B%22_842%22:%22Handschrift%22%7D',ForceSearch:!f,InitialSearch:!f,Page:0,PageRange:3,QueryGuid:'17d4bc14-389c-412f-b063-8048dbc884f9',QueryString:'II%20572',ResultSize:50,ScenarioCode:KBR_UNIFIED,ScenarioDisplayMode:display-standard,SearchGridFieldsShownOnResultsDTO:!(),SearchLabel:'',SearchTerms:'II%20572',SessionGuid:b5f72781-6673-4747-ba5f-23c2db686ae6,SortField:!n,SortOrder:0,TemplateParams:(Scenario:'',Scope:Library,Size:!n,Source:'',Support:'',UseCompact:!f),UseSpellChecking:!n)))",,[],Action required,9697,Digitization
48215,106,Prov. f.155,,,,No,9483,,Yes,9497,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/15397],,,[],Action required,9697,Add repository Jena H83A/digitization
48216,106,406,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/15397],https://rug.on.worldcat.org/search/detail/778595179?queryString=Parthonopeus&clusterResults=true&groupVariantRecords=false&bookReviews=off,,[],Action required,9697,Add repository Groningen H83C/digitization
48217,106,z.s.,,,,Yes,9482,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/15397],,,[],Action required,9697,Add repository Keulen Dombibliothek H83D
48223,106,167 III 9,43855.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/23980],,,[],Action required,9697,Digitization
48227,106,z.s. (H85),,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/24631],,,[],Action required,9697,Add repository Prague uni
48231,106,W. 4o 322*,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Repository Keulen (H86A)
48232,106,z.s.,,mevr. B. Buchholz,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization?
48240,106,1333,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository uni Luik (H87)/urls
48245,106,F 23,43807.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization/url
48249,106,"II 115,2",43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],"https://opac.kbr.be/Library/search.aspx?SC=KBR_UNIFIED&QUERY=II+572&_lg=nl-BE#/Detail/(query:(Id:'position:%20SOLR/DEFA-000001_OFFSET_0',Index:1,NBResults:52,PageRange:3,SearchQuery:(CloudTerms:!(),FacetFilter:%7B%7D,ForceSearch:!f,InitialSearch:!f,Page:0,PageRange:3,QueryGuid:'2a290e20-ef1d-4152-903d-78a66306accc',QueryString:perchevael,ResultSize:50,ScenarioCode:KBR_UNIFIED,ScenarioDisplayMode:display-standard,SearchGridFieldsShownOnResultsDTO:!(),SearchLabel:'',SearchTerms:perchevael,SessionGuid:'34df968b-af50-43ad-92bc-8cfcd79602e9',SortField:!n,SortOrder:0,TemplateParams:(Scenario:'',Scope:Library,Size:!n,Source:'',Support:'',UseCompact:!f),UseSpellChecking:!n)))",,[],Action required,9697,
48254,106,392/21,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository Prague museum (H90)/urls
48261,106,"IV 636,4",43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],"https://opac.kbr.be/Library/search.aspx?SC=KBR_UNIFIED&QUERY=II+572&_lg=nl-BE#/Detail/(query:(Id:'position:%20SOLR/DEFA-000001_OFFSET_0',Index:1,NBResults:12,PageRange:3,SearchQuery:(CloudTerms:!(),FacetFilter:'%7B%22_842%22:%22Handschrift%22%7D',ForceSearch:!f,InitialSearch:!f,Page:0,PageRange:3,QueryGuid:'7bfad78b-dac0-4fcc-b54c-aaa2030115c6',QueryString:'IV%20636,4',ResultSize:50,ScenarioCode:KBR_UNIFIED,ScenarioDisplayMode:display-standard,SearchGridFieldsShownOnResultsDTO:!(),SearchLabel:'',SearchTerms:'IV%20636%204',SessionGuid:de9bb8e1-6e7b-459d-bea3-bc9c8c0edf59,SortField:!n,SortOrder:0,TemplateParams:(Scenario:'',Scope:Library,Size:!n,Source:'',Support:'',UseCompact:!f),UseSpellChecking:!n)))",,[],Action required,9697,
