H-ID,type_id,URI,digitization_of H-ID,IIIF,ARK
46726,126,https://gallica.bnf.fr/ark:/12148/btv1b52509007k,[45648],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52509007k/manifest.json,ark:/12148/btv1b52509007k
46727,126,https://gallica.bnf.fr/ark:/12148/btv1b10468710f,[45701],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10468710f/manifest.json,ark:/12148/btv1b10468710f
46728,126,https://gallica.bnf.fr/ark:/12148/btv1b52505349w,[46017],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52505349w/manifest.json,ark:/12148/btv1b52505349w
46729,126,https://gallica.bnf.fr/ark:/12148/btv1b90597034,[46018],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90597034/manifest.json,ark:/12148/btv1b90597034
46730,126,https://gallica.bnf.fr/ark:/12148/btv1b10720619x,[46019],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10720619x/manifest.json,ark:/12148/btv1b10720619x
46731,126,https://gallica.bnf.fr/ark:/12148/btv1b90580947,[46020],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90580947/manifest.json,ark:/12148/btv1b90580947
46732,126,https://gallica.bnf.fr/ark:/12148/btv1b52507115s,[46021],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52507115s/manifest.json,ark:/12148/btv1b52507115s
46733,126,https://gallica.bnf.fr/ark:/12148/btv1b9060898f,[46022],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9060898f/manifest.json,ark:/12148/btv1b9060898f
46734,126,https://gallica.bnf.fr/ark:/12148/btv1b9059208g,[46023],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059208g/manifest.json,ark:/12148/btv1b9059208g
46735,126,https://gallica.bnf.fr/ark:/12148/btv1b105253083,[46025],https://gallica.bnf.fr/iiif/ark:/12148/btv1b105253083/manifest.json,ark:/12148/btv1b105253083
46736,126,https://gallica.bnf.fr/ark:/12148/btv1b90633265,[46026],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90633265/manifest.json,ark:/12148/btv1b90633265
46737,126,https://gallica.bnf.fr/ark:/12148/btv1b9059015x,[46027],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059015x/manifest.json,ark:/12148/btv1b9059015x
46738,126,https://gallica.bnf.fr/ark:/12148/btv1b10032891g,[45704],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10032891g/manifest.json,ark:/12148/btv1b10032891g
46739,126,https://gallica.bnf.fr/ark:/12148/btv1b90069809,[46028],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90069809/manifest.json,ark:/12148/btv1b90069809
46740,126,https://gallica.bnf.fr/ark:/12148/btv1b9060645m,[46029],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9060645m/manifest.json,ark:/12148/btv1b9060645m
46741,126,https://gallica.bnf.fr/ark:/12148/btv1b52513529f,[46030],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52513529f/manifest.json,ark:/12148/btv1b52513529f
46742,126,https://gallica.bnf.fr/ark:/12148/btv1b9059912s,[46031],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059912s/manifest.json,ark:/12148/btv1b9059912s
46743,126,https://gallica.bnf.fr/ark:/12148/btv1b90075236,[46032],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90075236/manifest.json,ark:/12148/btv1b90075236
46744,126,https://gallica.bnf.fr/ark:/12148/btv1b90606446,[46033],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90606446/manifest.json,ark:/12148/btv1b90606446
46745,126,https://gallica.bnf.fr/ark:/12148/btv1b105380786,[46034],https://gallica.bnf.fr/iiif/ark:/12148/btv1b105380786/manifest.json,ark:/12148/btv1b105380786
