H-ID,type_id,is_manifestation_of H-ID,observed_on_pages H-ID,last_observed_in_doc H-ID,is_unobserved,is_unobserved TRM-ID,claim_freetext,used_to_follow_fragment H-ID,used_to_follow_witness H-ID,preferred_siglum,alternative_sigla,status_witness,status_witness TRM-ID,status_notes,is_excerpt,is_excerpt TRM-ID,regional_writing_style H-ID,scripta_freetext,date_of_creation,date_of_creation_certainty,date_of_creation_certainty TRM-ID,date_of_creation_source,date_freetext,scribe H-ID,number_of_hands,scribe_note,place_of_creation H-ID,place_of_creation_source,described_by_source H-ID,described_at_URL,reference_notes,review_status,review_status TRM-ID,review_note
48045,105,48043.0,[48046],,No,9483,,,,Hs. 28,[],complete,9545,,No,9483,48048.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1413-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1432-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1413-01-01 00:00:00, 'estMaxDate': 1432-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'c.1422',[],2.0,,[],,[47483],[https://www.handschriftencensus.de/23908],,Action required,9697,Check.
48051,105,48049.0,[48052],,Yes,9482,Lost in bombing of the city in 1940.,,,H33,[],lost,9758,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15.",'XIV2',[],,,[],,[47483],[https://www.arlima.net/eh/huon_de_bordeaux/nl_version_fragmentaire.html],,Action required,9697,Kienhorst zegt in BNM?
48055,105,48049.0,[48056],,No,9483,,,,H34,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1291-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1510-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1291-01-01 00:00:00, 'estMaxDate': 1510-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'XIV/XV',[],,,[],,[47483],[],,Action required,9697,Check
48059,105,48049.0,"[48060, 48062]",,No,9483,,,,H35,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15.",'XIV2',[],,,[],,[47483],[],,Action required,9697,Check
48064,105,48049.0,[48065],,No,9483,,,,H36,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1366-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1366-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'XIVd',[],,,[],,[47483],[],,Action required,9697,Check.
48069,105,48067.0,[48070],,No,9483,,,,H37,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1360-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1360-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15.",'≤ 1350',[],,,[],,[47483],[],,Action required,9697,url?
48074,105,48072.0,[48075],,No,9483,,,,H38,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1360-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1360-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15.",'< 1350',[],,,[],,[47483],[],,Action required,9697,Add Maastricht part!
48079,105,48077.0,[48080],,No,9483,,,,H45,[],fragmentary,9544,,No,9483,46312.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1385-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1385-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'> 1350',[],,,[],,[47483],[],,Action required,9697,url?
48083,105,48082.0,[48084],,No,9483,,,,LC,[],complete,9545,,Maybe,9484,46312.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1311-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1335-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1311-01-01 00:00:00, 'estMaxDate': 1335-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 14.",'c.1320-1325',[],,,[],,[47483],[https://www.handschriftencensus.de/18444],,Action required,9697,Check
48086,105,48085.0,[48087],,No,9483,,,,LC,[],fragmentary,9544,,No,9483,46312.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1311-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1335-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1311-01-01 00:00:00, 'estMaxDate': 1335-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 14.",'c.1320-1325',[],,,[],,[47483],[https://www.handschriftencensus.de/18444],,Action required,9697,Check.
