H-ID,type_id,preferred_name,label_name,city H-ID,alternative_names,VIAF,ISNI,biblissima_identifier,website
43765,108,Rijksmuseum Het Catharijneconvent,Rijksmuseum Het Catharijneconvent,43681,"[Museum Catharijneconvent., Rijksmuseum Het Catharijneconvent (Utrecht), Rijksmuseum Het Catharijneconvent (Utrecht, Pays-Bas), Museum Catharijneconvent Utrecht (NL-Urc), Museum Catharijneconvent Utrecht, Pays-Bas, St. Catherine's Convent (Sion Hill, Dublin), Museum Catharijneconvent (Utrecht)]",152743245.0,0000000417850247,,
43766,108,Bibliothèque de la Sorbonne,Bibliothèque de la Sorbonne,43675,"[Bibliothèque de la Sorbonne (Paris), Bibliothèque de l'Université de France, Bibliothèque interuniversitaire de la Sorbonne (Paris)]",149068766.0,0000000121817384,,
43767,108,Archives Départementales de la Vienne,Archives dép. La Vienne,42716,[],142526182.0,,,
43768,108,Stiftsbibliothek Seitenstetten,Stiftsbibliothek,43682,"[Benediktinerstift Seitenstetten. Bibliothek, Benediktinerstift Seitenstetten. Stiftsbibliothek]",169315054.0,,,
43769,108,Schøyen Collection,Schøyen Collection,43592,"[Schøyen-samlingen, Schøyen Collection of Western Manuscripts]",152129314.0,,,
43770,108,Bloomsbury Book Auctions,Bloomsbury Book Auctions,43399,"[Bloomsbury Book Auctions (Firm) London auctioneer founded by Frank Hermann and David Stagg, Bloomsbury Book Auctions (Firme), Bloomsbury Book Auctions (firma), Bloomsbury Book Auctions London]",125125135.0,,,
43771,108,Cathedral Library Ripon,Cathedral Library Ripon,43683,[],2.415903276400118e+19,,,
43772,108,Bibliothèque Municipale Dijon,Bibliothèque Municipale Dijon,43684,"[Bibliothèque municipale de Dijon, Dijon (France). Bibliothèque municipale, Bibliothèque municipale Dijon (F-Dm)]",169261871.0,0000000404477551,,
43773,108,Fondation Martin Bodmer,Fondation Martin Bodmer,43685,"[Fondation Martin Bodmer (Cologny), Foundation Martin Bodmer, Fondation Martin Bodmer (Cologny, Suisse)]",134321830.0,0000000121621672,,
43774,108,Bibliothèque de Toulouse,Bibliothèque de Toulouse,42738,"[Bibliothèques de Toulouse, Bibliothèque Municipale Toulouse, Bibliothèque municipale de Toulouse]",124593334.0,0000000120971793,,
43775,108,Yale university. Library,Yale university. Library,43496,"[Yale University Library (New Haven, Connecticut), Yale university library New Haven, Conn.]",134837061.0,0000000122898075,,
43776,108,Biblioteca nazionale di Torino,Biblioteca nazionale di Torino,43649,"[Biblioteca nazionale universitaria Torino (I-Tn), Biblioteca nazionale universitaria di Torino, Biblioteca nazionale universitaria Turin, Italie, Biblioteca Nazionale (Torino), Biblioteca nazionale universitaria di Torino Italia, Biblioteca nazionale universitaria (Turyn)., Biblioteca Nazionale Universitaria]",137869949.0,0000000121669553,,
43777,108,Archives de l'État à Liège,Archives de l'État à Liège,43648,[],258599271.0,0000000096909032,,
43778,108,Biblioteca nazionale di Napoli,Biblioteca nazionale di Napoli,43687,"[Biblioteca Nazionale Vittorio Emanuele III Napoli (I-Nn), Biblioteca nazionale Vittorio Emanuele III (Napoli), Biblioteca nazionale (Naples, Italie), Biblioteca nazionale (Nàpols, Itàlia), Biblioteca nazionale (Naples, Italy), Biblioteca nazionale Vittorio Emanuele III Naples, Italie, Biblioteca nazionale Vittorio Emanuelle III (Napoli), Biblioteca Nazionale, Biblioteca nazionale (Νεάπολη, Ιταλία), Biblioteca nazionale Vittorio Emanuele III, Biblioteca Nazionale Vittorio Emanuele III (Neapol).]",123993876.0,0000000119310912,,
43779,108,"University of Missouri, Ellis library",University of Missouri Ellis Library,43688,"[University of Missouri, Elmer Ellis Library Columbia, MO (US-COL), Université du Missouri]",132493960.0,0000000121679268,,
43780,108,Bibliothèque municipale,Bibliothèque municipale,42641,"[Bibliothèque publique (Dijon), Bibliothèque municipale de Besançon, Bibliothèque Municipale, Bibliothèque municipale Besançon (F-B)]",149564739.0,0000000122962452,,
43782,108,Académie Saint-Anselme,Académie Saint-Anselme,43985,"[Société académique, religieuse et scientifique du duché d'Aoste, Académie Saint-Anselme Aoste, Italie]",144844940.0,0000000121762686,,
43783,108,Thomas Fisher Rare Book Library,Thomas Fisher Rare Book Library,43434,"[Thomas Fisher rare book library (Toronto, Canada), University of Toronto. Thomas Fisher Rare Book Library, Thomas Fisher rare book library Toronto, Ont., Bibliothèque de livres rares de Thomas Fisher, University of Toronto, Thomas Fisher Rare Book Library Toronto (CDN-Ttfl), University of Toronto Library, Thomas Fisher Rare Book Library Toronto]",153502342.0,0000000121885037,,
43784,108,Bibliothèque municipale,Bibliothèque municipale,42626,"[Bibliothèques d'Albi, Médiathèque Pierre Amalric Albi, Bibliothèque municipale d'Albi, Bibliothèque Municipale, Bibliothèque Municipale Rochegude]",262526603.0,0000000108055936,,
43785,108,University of Durham. Library,University of Durham Library,43658,"[University Library Durham (GB-DRu), Durham University Library, University Durham Library, University of Durham. University Library]",264479328.0,0000000121602500,,
43786,108,Bibliothèque municipale,Bibliothèque municipale,43697,"[Bibliothèque municipale (Bourg-en-Bresse), Bibliothèque municipale Bourg-en-Bresse (F-BG), Médiathèque Elisabeth et Roger Vailland Bourg-en-Bresse]",140283992.0,,,
43787,108,Rijksuniversiteit te Gent. Bibliotheek,Rijksuniversiteit te Gent Bibliotheek,43690,"[Universiteitsbibliotheek Gand, Belgique, Rijksuniversiteit Gent. Bibliothek, Universiteitsbibliotheek UGent, Universiteitsbibliotheek Gent (B-Gu), Rijksuniversiteit (Gandawa). Bibliotheek., Universiteitsbibliotheek Gent]",139553481.0,0000000123484448,,
43788,108,Biblioteca Universitaria de Salamanca,Biblioteca Universitaria de Salamanca,43691,"[Biblioteca Universitaria (Salamanca), Universidad de Salamanca. Biblioteca General Histórica, Biblioteca General Històrica de la Universitat de Salamanca, Universidad de Salamanca., Biblioteca, Biblioteca General de la Universidad de Salamanca, Universidad Salamanca Biblioteca General, Biblioteca General Histórica (Universidad de Salamanca) Salamanca (E-SAu), Universidad de Salamanca. Biblioteca General.]",4.171455516433967e+20,0000000122921706,,
43789,108,Médiathèque du Grand Troyes,Médiathèque du Grand Troyes,42741,"[Médiathèque Jacques-Chirac Troyes (F-T), Bibliothèque de Troyes, Médiathèque Jacques-Chirac, Bibliothèque municipale à vocation régionale de Troyes]",157848133.0,0000000120977415,,
43790,108,Archivio capitolare,Archivio capitolare,43060,"[Archivio capitolare Pistoia, Italie, Archivio capitolare Pistoia (I-PS), Archivio capitolare di Pistoia]",239178458.0,,,
43791,108,Stichting Huis Bergh,Stichting Huis Bergh,43692,[],154547278.0,,,
43792,108,Österreichische Nationalbibliothek,Österreichische Nationalbibliothek,43576,"[كتابخانهى ملى اتريش, Áustria., Österreichische Nationalbibliothek, הספרייה הלאומית של אוסטריה, Austriacka Biblioteka Narodowa, Österreichische Nationalbibliothek (Viedeň, Rakúsko), Österreichische Nationalbibliothek (Wien)]",136765452.0,0000000123064881,,
43793,108,Bibliothèque municipale,Bibliothèque municipale,42711,"[Orléans (France). Bibliothèque municipale, Bibliothèques d'Orléans, Bibliothèque municipale Orléans (F-O), Bibliothèque municipale d'Orléans]",150025322.0,0000000122487356,,
43794,108,Columbia University. Rare Book and Manuscript Library,Columbia Rare Book & Manuscript,43498,"[Columbia University Rare Book & Manuscript Library, Columbia university New York, Rare book and manuscript library, Rare Book and Manuscript Library, Rare Book and Manuscript Library (Columbia University)]",126134765.0,0000000121080802,,
43795,108,University of Nottingham. Library,University of Nottingham Library,43693,[],158808798.0,0000000108170555,,
43796,108,Universitätsbibliothek Leipzig,Universitätsbibliothek Leipzig,42855,"[Universität Leipzig (Alemania). Bibliothek, Universitätsbibliothek der Universität Leipzig]",142483245.0,0000000123092970,,
43797,108,University of Chicago,University of Chicago,43462,"[University of Chicago private university in Chicago, Illinois, Universidad de Chicago]",143657677.0,,,
43798,108,Bibliothèque universitaire Henri de Lubac Lyon,Bibliothèque universitaire Henri de Lubac,42688,[Université catholique de Lyon. Bibliothèque universitaire Henri de Lubac],305396398.0,,,
43799,108,"Bibliothèque inguimbertine Carpentras, Vaucluse",Bibliothèque Inguimbertine Carpentras,43694,"[bibliothèque Inguimbertine, Bibliothèque Inguimbertine Carpentras (F-C), Bibliothèque inguimbertine de Carpentras, Bibliothèque Inguimbertine (Carpentras)]",150807197.0,0000000123533625,,
43800,108,University of Glasgow. Library,University of Glasgow Library,43695,"[University of Glasgow, University Library, University Library Glasgow (GB-Gu), Glasgow University Library]",139315116.0,0000000112505848,,
43801,108,Biblioteca nazionale centrale di Firenze,Biblioteca nazionale centrale di Firenze,43639,"[Biblioteca nazionale centrale (Firenze), Itália Biblioteca Nazionale Centrale, Biblioteca Nazionale Centrale (Florencja)., Biblioteca nazionale centrale Florence, Italie, Itália., Biblioteca Nazionale Centrale (Firenze), הספרייה הלאומית המרכזית של פירנצה]",143744216.0,0000000417559409,,
43802,108,Harvard university library,Harvard University Library,43457,"[Harvard University Library (Cambridge, Mass.), Harvard University, Harvard College Library Cambridge, MA (US-CA)]",129558359.0,0000000114819074,,
43803,108,"Archives départementales de la Marne, Centre de Châlons",Archives dép. la Marne,43671,[Archives du département de la Marne],157681964.0,0000000119456380,,
43804,108,Hessische Landes- und Hochschulbibliothek Darmstadt,Universitäts- und Landesbibliothek,43696,"[Hessische Landes- und Hochschulbibliothek, Hessischen Landes- und Hochschulbibliothek Darmstadt, Hessische Landes- und Hochschulbibliothek Darmstadt, Allemagne]",127347391.0,0000000121536988,,
43805,108,"Corpus Christi College, Parker Library","Corpus Christi College, Parker Library",43630,"[Parker Library (Corpus Christi College), Corpus Christi College (Cambridge) Cambridge (GB-Ccc), Parker Library, Corpus Christi College Cambridge, GB, Library]",132157055.0,0000000090493507,,
43806,108,Erfgoedbibliotheek Hendrik Conscience,Erfgoedbibliotheek Hendrik Conscience,43652,"[Erfgoedbibliotheek Hendrik Conscience, Erfgoedbibliotheek Hendrik Conscience (Anvers, Belgique), Erfgoedbibliotheek Hendrik Conscience Anvers]",286682135.0,,,
43807,108,Universitäts- und Landesbibliothek Düsseldorf,Universitäts- und Landesbibliothek,42782,"[Universitäts-und Landesbibliothek Düsseldorf, Allemagne, Heinrich-Heine-Universität, Universitäts- und Landesbibliothek Düsseldorf (D-DÜl)]",125646738.0,0000000109410725,,
43808,108,Bibliothèque municipale,Bibliothèque municipale,42692,"[Bibliothèque municipale Marseille (F-Mm), Bibliothèque Municipale Saint-Charles (Marseille), Bibliothèque municipale, Bibliothèque municipale de Marseille]",168603372.0,0000000122046745,,
