H-ID,type_id,subject_of_description H-ID,material,material TRM-ID,form,form TRM-ID,folio_size_width,folio_size_height,folio_size_reference,estimated_folio_size_height,estimated_folio_size_width,estimated_folio_size_reference,has_decorations,has_decorations TRM-ID,amount_of_illustrations,amount_of_illustrations TRM-ID,writing_surface_area_height,writing_surface_area_width,writing_surface_area_reference,number_of_columns,number_of_lines_in_writing_area,above_top_line,above_top_line TRM-ID,script_type,script_type TRM-ID,subscript_type,subscript_type TRM-ID
47695,129,47689.0,perg,9782,codex,9788,180,260,"Kienhorst (1988), p. 205.",,,,"[initial, rubrication]","[9794, 9795]",none,9800,205,130,,2,50,unknown,9535.0,textualis,9806,,
47715,129,47712.0,perg,9782,codex,9788,265,340-350,"Kienhorst (1988), p. 207.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,270,204,,3,52,unknown,9535.0,textualis,9806,,
47719,129,47716.0,perg,9782,codex,9788,270,370,"Kienhorst (1988), p. 208.",,,,[rubrication],[9795],none,9800,278,215-220,,3,53,unknown,9535.0,textualis,9806,,
47723,129,47720.0,perg,9782,codex,9788,234,20-24,"Kienhorst (1988), p. 210.",,,,[rubrication],[9795],none,9800,,142,,2,38,unknown,9535.0,textualis,9806,,
47727,129,47724.0,perg,9782,codex,9788,134,30,https://opac.kbr.be/Library,,,,[rubrication],[9795],none,9800,,,,2,,unknown,9535.0,textualis,9806,,
47732,129,47729.0,perg,9782,codex,9788,NA,NA,NA,,,,[unknown],[9793],none,9800,,,,,,,,unknown,9804,,
47736,129,47733.0,unknown,9786,unknown,9791,NA,NA,NA,,,,[unknown],[9793],unknown,9799,,,,,,,,unknown,9804,,
47740,129,47737.0,unknown,9786,unknown,9791,NA,NA,NA,,,,[unknown],[9793],unknown,9799,,,,,,,,unknown,9804,,
47744,129,47741.0,unknown,9786,unknown,9791,NA,NA,NA,,,,[unknown],[9793],unknown,9799,,,,,,,,unknown,9804,,
47749,129,47746.0,perg,9782,codex,9788,185-190,260-270,"Kienhorst (1988), p. 211.",,,,[rubrication],[9795],none,9800,206,140,,2,44,unknown,9535.0,textualis,9806,,
47754,129,47750.0,perg,9782,codex,9788,166-171,255-260,"Kienhorst (1988), p. 212.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,215,138,,2,50,unknown,9535.0,textualis,9806,,
